Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
1,Islamabad United,Quetta Gladiators,Quetta Gladiators,8 wickets,Dubai (DICS),4-Feb-16,Normal,Bowl First,8,,Match 1,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Mohammad Nawaz,4-Feb-16, night ,West Indies Joel Wilson Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Islamabad United 0,
2,Karachi Kings,Lahore Qalandars,Karachi Kings,7 wickets,Dubai (DICS),5-Feb-16,Normal,Bowl First,7,,Match 2,Karachi Kings, elected to field first,Pakistan Super League,2016,Kings Shakib Al Hasan,5-Feb-16, daynight ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Karachi Kings 2, Lahore Qalandars 0,
3,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,24 runs,Dubai (DICS),5-Feb-16,Normal,Bat First,,24,Match 3,Peshawar Zalmi, elected to bat first,Pakistan Super League,2016,Zalmi Mohammad Asghar,5-Feb-16, night ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Islamabad United 0,
4,Quetta Gladiators,Karachi Kings,Quetta Gladiators,8 wickets,Dubai (DICS),6-Feb-16,Normal,Bowl First,8,,Match 4,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Ahmed Shehzad,6-Feb-16, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,,Pakistan Mohammed Anees,Quetta Gladiators 2, Karachi Kings 0,
5,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,9 wickets,Dubai (DICS),6-Feb-16,Normal,Bowl First,9,,Match 5,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,Zalmi Tamim Iqbal,6-Feb-16, night ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
6,Islamabad United,Karachi Kings,Islamabad United,2 runs,Dubai (DICS),7-Feb-16,Normal,Bat First,,2,Match 6,Karachi Kings, elected to field first,Pakistan Super League,2016,United Saeed Ajmal,7-Feb-16, daynight ,West Indies Joel Wilson Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Karachi Kings 0,
7,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,3 wickets,Dubai (DICS),7-Feb-16,Normal,Bowl First,3,,Match 7,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Mohammad Nawaz,7-Feb-16, night ,Pakistan Rashid Riaz Pakistan Shozab Raza,West Indies Joel Wilson,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Peshawar Zalmi 0,
8,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,63 runs,Dubai (DICS),8-Feb-16,Normal,Bat First,,63,Match 8,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Qalandars Umar Akmal,8-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Lahore Qalandars 2, Quetta Gladiators 0,
9,Islamabad United,Lahore Qalandars,Islamabad United,8 wickets,Sharjah,10-Feb-16,Normal,Bowl First,8,,Match 9,Islamabad United, elected to field first,Pakistan Super League,2016,United Sharjeel Khan,10-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Islamabad United 2, Lahore Qalandars 0,
10,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,3 runs,Sharjah,11-Feb-16,Normal,Bat First,,3,Match 10,Peshawar Zalmi, elected to bat first,Pakistan Super League,2016,Zalmi Mohammad Hafeez,11-Feb-16, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
11,Islamabad United,Quetta Gladiators,Quetta Gladiators,7 wickets,Sharjah,11-Feb-16,Normal,Bowl First,7,,Match 11,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Grant Elliott,11-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Quetta Gladiators 2, Islamabad United 0,
12,Karachi Kings,Lahore Qalandars,Karachi Kings,27 runs,Sharjah,12-Feb-16,Normal,Bat First,,27,Match 12,Lahore Qalandars, elected to field first,Pakistan Super League,2016,Kings Ravi Bopara,12-Feb-16, daynight ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Karachi Kings 2, Lahore Qalandars 0,
13,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,7 wickets,Sharjah,12-Feb-16,Normal,Bowl First,7,,Match 13,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,Zalmi Tamim Iqbal,12-Feb-16, night ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Islamabad United 0,
14,Karachi Kings,Quetta Gladiators,Quetta Gladiators,5 wickets,Sharjah,13-Feb-16,Normal,Bowl First,5,,Match 14,Karachi Kings, elected to bat first,Pakistan Super League,2016,Gladiators Grant Elliott,13-Feb-16, daynight ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Quetta Gladiators 2, Karachi Kings 0,
15,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,4 runs,Sharjah,13-Feb-16,Normal,Bat First,,4,Match 15,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,Qalandars Cameron Delport,13-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,Lahore Qalandars 2, Peshawar Zalmi 0,
16,Islamabad United,Karachi Kings,Islamabad United,5 wickets,Sharjah,14-Feb-16,Normal,Bowl First,5,,Match 16,Islamabad United, elected to field first,Pakistan Super League,2016,United Imran Khalid,14-Feb-16, daynight ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,Islamabad United 2, Karachi Kings 0,
17,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,8 wickets,Sharjah,14-Feb-16,Normal,Bowl First,8,,Match 17,Quetta Gladiators, elected to bat first,Pakistan Super League,2016,Zalmi Shahid Afridi,14-Feb-16, night ,Pakistan Ahmed Shahab Pakistan Shozab Raza,Pakistan Aleem Dar,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Quetta Gladiators 0,
18,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,2 wickets,Dubai (DICS),16-Feb-16,Normal,Bowl First,2,,Match 18,Quetta Gladiators, elected to field first,Pakistan Super League,2016,Gladiators Bismillah Khan,16-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Lahore Qalandars 0,
19,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,5 wickets,Dubai (DICS),17-Feb-16,Normal,Bowl First,5,,Match 19,Karachi Kings, elected to bat first,Pakistan Super League,2016,Zalmi Brad Hodge,17-Feb-16, daynight ,Pakistan Ahsan Raza Pakistan Shozab Raza,West Indies Joel Wilson,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Karachi Kings 0,
20,Islamabad United,Lahore Qalandars,Islamabad United,5 wickets,Dubai (DICS),17-Feb-16,Normal,Bowl First,5,,Match 20,Islamabad United, elected to field first,Pakistan Super League,2016,United Mohammad Irfan,17-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Shozab Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,Islamabad United 2, Lahore Qalandars 0,
21,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,1 run,Dubai (DICS),19-Feb-16,Normal,Bat First,,1,1st Qualifying Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,Gladiators Mohammad Nawaz,19-Feb-16, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,
22,Islamabad United,Karachi Kings,Islamabad United,9 wickets,Dubai (DICS),20-Feb-16,Normal,Bowl First,9,,2nd Qualifying Final,Islamabad United, elected to field first,Pakistan Super League,2016,United Mohammad Sami,20-Feb-16, night ,Pakistan Ahsan Raza Pakistan Aleem Dar,West Indies Joel Wilson,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,
23,Islamabad United,Peshawar Zalmi,Islamabad United,50 runs,Dubai (DICS),21-Feb-16,Normal,Bat First,,50,3rd Qualifying Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2016,United Sharjeel Khan,21-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Ahsan Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,
24,Islamabad United,Quetta Gladiators,Islamabad United,6 wickets,Dubai (DICS),23-Feb-16,Normal,Bowl First,6,,Final,Islamabad United, elected to field first,Pakistan Super League,2016,United Dwayne Smith,23-Feb-16, night ,Pakistan Aleem Dar West Indies Joel Wilson,Pakistan Ahsan Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,Kings Ravi Bopara
25,Islamabad United,Peshawar Zalmi,Islamabad United,7 wickets,Dubai (DICS),9-Feb-17,Normal,Bowl First,7,,Match 1,Islamabad United, elected to field first,Pakistan Super League,2017,United Brad Haddin,9-Feb-17, day ,Pakistan Ahsan Raza Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Islamabad United 2, Peshawar Zalmi 0,
26,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,8 runs,Dubai (DICS),10-Feb-17,Normal,Bat First,,8,Match 2,Lahore Qalandars, elected to field first,Pakistan Super League,2017,Gladiators Hassan Khan,10-Feb-17, day ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Asif Yaqoob,Pakistan Mohammed Anees,Quetta Gladiators 2, Lahore Qalandars 0,
27,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,7 wickets,Dubai (DICS),10-Feb-17,Normal,Bowl First,7,,Match 3,Peshawar Zalmi, elected to field first,Pakistan Super League,2017,Zalmi Eoin Morgan,10-Feb-17, day ,Pakistan Ahmed Shahab Pakistan Ahsan Raza,Pakistan Asif Yaqoob,Pakistan Shozab Raza,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Karachi Kings 0,
28,Islamabad United,Lahore Qalandars,Lahore Qalandars,6 wickets,Dubai (DICS),11-Feb-17,Normal,Bowl First,6,,Match 4,Lahore Qalandars, elected to field first,Pakistan Super League,2017,Qalandars Jason Roy,11-Feb-17, day ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Islamabad United 0,
29,Karachi Kings,Quetta Gladiators,Quetta Gladiators,7 wickets,Dubai (DICS),11-Feb-17,Normal,Bowl First,7,,Match 5,Quetta Gladiators, elected to field first,Pakistan Super League,2017,Gladiators Rilee Rossouw,11-Feb-17, day ,Pakistan Aleem Dar Pakistan Rashid Riaz,Pakistan Ahmed Shahab,Pakistan Asif Yaqoob,Pakistan Mohammed Anees,Quetta Gladiators 2, Karachi Kings 0,
30,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,3 wickets,Dubai (DICS),12-Feb-17,Normal,Bowl First,3,,Match 6,Peshawar Zalmi, elected to field first,Pakistan Super League,2017,Qalandars Yasir Shah,12-Feb-17, day ,Pakistan Aleem Dar England Richard Illingworth,Pakistan Ahsan Raza,Pakistan Shozab Raza,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
31,Islamabad United,Quetta Gladiators,Islamabad United,5 wickets,Sharjah,15-Feb-17,Normal,Bowl First,5,,Match 7,Islamabad United, elected to field first,Pakistan Super League,2017,United Sam Billings,15-Feb-17, day ,Pakistan Aleem Dar England Richard Illingworth,Pakistan Shozab Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,Islamabad United 2, Quetta Gladiators 0,
